trainable params: 3,899,392 || all params: 6,247,483,392 || trainable%: 0.06241540401681151
--> Model

--> model has 3.899392M params

train_dataset: Dataset({
    features: ['input_ids', 'labels'],
    num_rows: 1207
})
val_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
test_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
{'loss': 1.6684, 'grad_norm': 0.0, 'learning_rate': 9.958333333333334e-06, 'epoch': 0.01}
{'loss': 2.2715, 'grad_norm': 0.0, 'learning_rate': 9.916666666666668e-06, 'epoch': 0.02}
{'loss': 1.9141, 'grad_norm': 1.2827534675598145, 'learning_rate': 9.875000000000001e-06, 'epoch': 0.02}
{'loss': 2.164, 'grad_norm': 6.576834201812744, 'learning_rate': 9.833333333333333e-06, 'epoch': 0.03}
{'loss': 2.2389, 'grad_norm': 5.483034610748291, 'learning_rate': 9.791666666666666e-06, 'epoch': 0.04}
{'loss': 2.1474, 'grad_norm': 6.961137294769287, 'learning_rate': 9.75e-06, 'epoch': 0.05}
{'loss': 1.5655, 'grad_norm': 9.947117805480957, 'learning_rate': 9.708333333333333e-06, 'epoch': 0.06}
{'loss': 2.2762, 'grad_norm': 0.0, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.07}
{'loss': 2.0559, 'grad_norm': 5.26133394241333, 'learning_rate': 9.625e-06, 'epoch': 0.07}
{'loss': 1.4059, 'grad_norm': 8.095245361328125, 'learning_rate': 9.583333333333335e-06, 'epoch': 0.08}
{'eval_rouge-1': 41.721344, 'eval_rouge-2': 19.505728, 'eval_rouge-l': 30.73141, 'eval_bleu-4': 0.10740549769739159, 'eval_runtime': 106.1266, 'eval_samples_per_second': 0.471, 'eval_steps_per_second': 0.047, 'epoch': 0.08}
{'loss': 1.9398, 'grad_norm': 10.75228500366211, 'learning_rate': 9.541666666666669e-06, 'epoch': 0.09}
{'loss': 2.3019, 'grad_norm': 6.125768661499023, 'learning_rate': 9.5e-06, 'epoch': 0.1}
{'loss': 1.8314, 'grad_norm': 5.590773582458496, 'learning_rate': 9.458333333333334e-06, 'epoch': 0.11}
{'loss': 1.8688, 'grad_norm': 8.935834884643555, 'learning_rate': 9.416666666666667e-06, 'epoch': 0.12}
{'loss': 2.3001, 'grad_norm': 6.906600475311279, 'learning_rate': 9.375000000000001e-06, 'epoch': 0.12}
{'loss': 2.0852, 'grad_norm': 0.0, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.13}
{'loss': 1.93, 'grad_norm': 4.067167282104492, 'learning_rate': 9.291666666666668e-06, 'epoch': 0.14}
{'loss': 2.185, 'grad_norm': 7.773316383361816, 'learning_rate': 9.250000000000001e-06, 'epoch': 0.15}
{'loss': 1.5543, 'grad_norm': 6.370632171630859, 'learning_rate': 9.208333333333333e-06, 'epoch': 0.16}
{'loss': 1.8314, 'grad_norm': 10.05002498626709, 'learning_rate': 9.166666666666666e-06, 'epoch': 0.17}
{'eval_rouge-1': 41.54679, 'eval_rouge-2': 18.51198, 'eval_rouge-l': 29.793220000000005, 'eval_bleu-4': 0.10236213553120653, 'eval_runtime': 99.4014, 'eval_samples_per_second': 0.503, 'eval_steps_per_second': 0.05, 'epoch': 0.17}
{'loss': 1.8445, 'grad_norm': 8.52801513671875, 'learning_rate': 9.125e-06, 'epoch': 0.17}
{'loss': 2.0608, 'grad_norm': 6.201157569885254, 'learning_rate': 9.083333333333333e-06, 'epoch': 0.18}
{'loss': 1.7001, 'grad_norm': 5.0085039138793945, 'learning_rate': 9.041666666666667e-06, 'epoch': 0.19}
{'loss': 1.7473, 'grad_norm': 9.989636421203613, 'learning_rate': 9e-06, 'epoch': 0.2}
{'loss': 1.5865, 'grad_norm': 4.967830657958984, 'learning_rate': 8.958333333333334e-06, 'epoch': 0.21}
{'loss': 1.3887, 'grad_norm': 0.0, 'learning_rate': 8.916666666666667e-06, 'epoch': 0.22}
{'loss': 1.4968, 'grad_norm': 8.722731590270996, 'learning_rate': 8.875e-06, 'epoch': 0.22}
{'loss': 1.613, 'grad_norm': 5.364313125610352, 'learning_rate': 8.833333333333334e-06, 'epoch': 0.23}
{'loss': 1.4851, 'grad_norm': 5.8988800048828125, 'learning_rate': 8.791666666666667e-06, 'epoch': 0.24}
{'loss': 1.4385, 'grad_norm': 0.0, 'learning_rate': 8.750000000000001e-06, 'epoch': 0.25}
{'eval_rouge-1': 43.54595599999999, 'eval_rouge-2': 20.510102000000003, 'eval_rouge-l': 32.830822, 'eval_bleu-4': 0.12368271052208554, 'eval_runtime': 95.8336, 'eval_samples_per_second': 0.522, 'eval_steps_per_second': 0.052, 'epoch': 0.25}
{'loss': 1.6875, 'grad_norm': 0.0, 'learning_rate': 8.708333333333334e-06, 'epoch': 0.26}
{'loss': 1.5192, 'grad_norm': 8.008441925048828, 'learning_rate': 8.666666666666668e-06, 'epoch': 0.27}
{'loss': 1.4047, 'grad_norm': 4.8890061378479, 'learning_rate': 8.625000000000001e-06, 'epoch': 0.27}
{'loss': 1.7165, 'grad_norm': 0.0, 'learning_rate': 8.583333333333333e-06, 'epoch': 0.28}
{'loss': 1.9684, 'grad_norm': 6.137040615081787, 'learning_rate': 8.541666666666666e-06, 'epoch': 0.29}
{'loss': 1.5785, 'grad_norm': 6.696232318878174, 'learning_rate': 8.5e-06, 'epoch': 0.3}
{'loss': 1.485, 'grad_norm': 7.1373162269592285, 'learning_rate': 8.458333333333333e-06, 'epoch': 0.31}
{'loss': 1.458, 'grad_norm': 6.379040718078613, 'learning_rate': 8.416666666666667e-06, 'epoch': 0.31}
{'loss': 1.4717, 'grad_norm': 0.0, 'learning_rate': 8.375e-06, 'epoch': 0.32}
{'loss': 1.4972, 'grad_norm': 5.2081804275512695, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.33}
{'eval_rouge-1': 44.143325999999995, 'eval_rouge-2': 21.118222, 'eval_rouge-l': 34.407066, 'eval_bleu-4': 0.1300180281954172, 'eval_runtime': 84.6138, 'eval_samples_per_second': 0.591, 'eval_steps_per_second': 0.059, 'epoch': 0.33}
{'loss': 1.4663, 'grad_norm': 5.30998420715332, 'learning_rate': 8.291666666666667e-06, 'epoch': 0.34}
{'loss': 1.4895, 'grad_norm': 6.810055732727051, 'learning_rate': 8.25e-06, 'epoch': 0.35}
{'loss': 1.2949, 'grad_norm': 7.2885918617248535, 'learning_rate': 8.208333333333334e-06, 'epoch': 0.36}
{'loss': 1.5096, 'grad_norm': 7.0572943687438965, 'learning_rate': 8.166666666666668e-06, 'epoch': 0.36}
{'loss': 1.6188, 'grad_norm': 7.65923547744751, 'learning_rate': 8.125000000000001e-06, 'epoch': 0.37}
{'loss': 1.5134, 'grad_norm': 8.092289924621582, 'learning_rate': 8.083333333333334e-06, 'epoch': 0.38}
{'loss': 1.4949, 'grad_norm': 5.899022102355957, 'learning_rate': 8.041666666666668e-06, 'epoch': 0.39}
{'loss': 1.2818, 'grad_norm': 7.115867614746094, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.4}
{'loss': 1.2714, 'grad_norm': 0.0, 'learning_rate': 7.958333333333333e-06, 'epoch': 0.41}
{'loss': 1.7925, 'grad_norm': 4.618309497833252, 'learning_rate': 7.916666666666667e-06, 'epoch': 0.41}
{'eval_rouge-1': 46.307122, 'eval_rouge-2': 22.39932, 'eval_rouge-l': 36.230608000000004, 'eval_bleu-4': 0.13981283048704896, 'eval_runtime': 80.3706, 'eval_samples_per_second': 0.622, 'eval_steps_per_second': 0.062, 'epoch': 0.41}
{'loss': 0.9881, 'grad_norm': 3.847519636154175, 'learning_rate': 7.875e-06, 'epoch': 0.42}
{'loss': 1.4281, 'grad_norm': 0.0, 'learning_rate': 7.833333333333333e-06, 'epoch': 0.43}
{'loss': 1.4956, 'grad_norm': 3.8255207538604736, 'learning_rate': 7.791666666666667e-06, 'epoch': 0.44}
{'loss': 1.0096, 'grad_norm': 9.671838760375977, 'learning_rate': 7.75e-06, 'epoch': 0.45}
