trainable params: 974,848 || all params: 6,244,558,848 || trainable%: 0.01561115883009451
--> Model

--> model has 0.974848M params

train_dataset: Dataset({
    features: ['input_ids', 'labels'],
    num_rows: 1207
})
val_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
test_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
{'loss': 1.6698, 'grad_norm': 0.0, 'learning_rate': 9.958333333333334e-06, 'epoch': 0.01}
{'loss': 2.2771, 'grad_norm': 0.0, 'learning_rate': 9.916666666666668e-06, 'epoch': 0.02}
{'loss': 1.9268, 'grad_norm': 0.6155685186386108, 'learning_rate': 9.875000000000001e-06, 'epoch': 0.02}
{'loss': 2.1862, 'grad_norm': 3.3735039234161377, 'learning_rate': 9.833333333333333e-06, 'epoch': 0.03}
{'loss': 2.2736, 'grad_norm': 2.7052130699157715, 'learning_rate': 9.791666666666666e-06, 'epoch': 0.04}
{'loss': 2.1902, 'grad_norm': 3.2360525131225586, 'learning_rate': 9.75e-06, 'epoch': 0.05}
{'loss': 1.61, 'grad_norm': 4.887723445892334, 'learning_rate': 9.708333333333333e-06, 'epoch': 0.06}
{'loss': 2.3374, 'grad_norm': 0.0, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.07}
{'loss': 2.1363, 'grad_norm': 2.5914254188537598, 'learning_rate': 9.625e-06, 'epoch': 0.07}
{'loss': 1.4829, 'grad_norm': 4.19490385055542, 'learning_rate': 9.583333333333335e-06, 'epoch': 0.08}
{'loss': 2.0419, 'grad_norm': 5.245865345001221, 'learning_rate': 9.541666666666669e-06, 'epoch': 0.09}
{'loss': 2.422, 'grad_norm': 3.5497217178344727, 'learning_rate': 9.5e-06, 'epoch': 0.1}
{'loss': 1.9497, 'grad_norm': 3.098659038543701, 'learning_rate': 9.458333333333334e-06, 'epoch': 0.11}
{'loss': 2.0201, 'grad_norm': 4.639188766479492, 'learning_rate': 9.416666666666667e-06, 'epoch': 0.12}
{'loss': 2.4943, 'grad_norm': 4.1280059814453125, 'learning_rate': 9.375000000000001e-06, 'epoch': 0.12}
{'loss': 2.3206, 'grad_norm': 0.0, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.13}
{'loss': 2.1531, 'grad_norm': 2.359067678451538, 'learning_rate': 9.291666666666668e-06, 'epoch': 0.14}
{'loss': 2.4087, 'grad_norm': 4.2247748374938965, 'learning_rate': 9.250000000000001e-06, 'epoch': 0.15}
{'loss': 1.7675, 'grad_norm': 3.4577720165252686, 'learning_rate': 9.208333333333333e-06, 'epoch': 0.16}
{'loss': 2.06, 'grad_norm': 5.431540012359619, 'learning_rate': 9.166666666666666e-06, 'epoch': 0.17}
{'loss': 2.1683, 'grad_norm': 5.248785495758057, 'learning_rate': 9.125e-06, 'epoch': 0.17}
{'loss': 2.3843, 'grad_norm': 4.216407299041748, 'learning_rate': 9.083333333333333e-06, 'epoch': 0.18}
{'loss': 1.9778, 'grad_norm': 3.2406296730041504, 'learning_rate': 9.041666666666667e-06, 'epoch': 0.19}
{'loss': 2.0717, 'grad_norm': 5.099963188171387, 'learning_rate': 9e-06, 'epoch': 0.2}
{'loss': 1.8675, 'grad_norm': 3.5865559577941895, 'learning_rate': 8.958333333333334e-06, 'epoch': 0.21}
{'loss': 1.6092, 'grad_norm': 0.0, 'learning_rate': 8.916666666666667e-06, 'epoch': 0.22}
{'loss': 1.7695, 'grad_norm': 6.951406955718994, 'learning_rate': 8.875e-06, 'epoch': 0.22}
{'loss': 1.9307, 'grad_norm': 3.890651226043701, 'learning_rate': 8.833333333333334e-06, 'epoch': 0.23}
{'loss': 1.824, 'grad_norm': 4.373889446258545, 'learning_rate': 8.791666666666667e-06, 'epoch': 0.24}
{'loss': 1.7211, 'grad_norm': 0.0, 'learning_rate': 8.750000000000001e-06, 'epoch': 0.25}
{'eval_rouge-1': 41.674254, 'eval_rouge-2': 19.116524000000002, 'eval_rouge-l': 30.632689999999997, 'eval_bleu-4': 0.11089204052900369, 'eval_runtime': 72.1055, 'eval_samples_per_second': 0.693, 'eval_steps_per_second': 0.069, 'epoch': 0.25}
{'loss': 2.0151, 'grad_norm': 0.0, 'learning_rate': 8.708333333333334e-06, 'epoch': 0.26}
{'loss': 1.7865, 'grad_norm': 6.3303141593933105, 'learning_rate': 8.666666666666668e-06, 'epoch': 0.27}
{'loss': 1.6856, 'grad_norm': 3.959521770477295, 'learning_rate': 8.625000000000001e-06, 'epoch': 0.27}
{'loss': 2.0211, 'grad_norm': 0.0, 'learning_rate': 8.583333333333333e-06, 'epoch': 0.28}
{'loss': 2.3154, 'grad_norm': 4.5174241065979, 'learning_rate': 8.541666666666666e-06, 'epoch': 0.29}
{'loss': 1.8522, 'grad_norm': 5.408343315124512, 'learning_rate': 8.5e-06, 'epoch': 0.3}
{'loss': 1.7706, 'grad_norm': 5.52081298828125, 'learning_rate': 8.458333333333333e-06, 'epoch': 0.31}
{'loss': 1.7616, 'grad_norm': 5.30870246887207, 'learning_rate': 8.416666666666667e-06, 'epoch': 0.31}
{'loss': 1.7147, 'grad_norm': 0.0, 'learning_rate': 8.375e-06, 'epoch': 0.32}
{'loss': 1.7835, 'grad_norm': 3.7234818935394287, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.33}
{'loss': 1.7407, 'grad_norm': 4.5887346267700195, 'learning_rate': 8.291666666666667e-06, 'epoch': 0.34}
{'loss': 1.7257, 'grad_norm': 5.660111904144287, 'learning_rate': 8.25e-06, 'epoch': 0.35}
{'loss': 1.5541, 'grad_norm': 6.598740100860596, 'learning_rate': 8.208333333333334e-06, 'epoch': 0.36}
{'loss': 1.7969, 'grad_norm': 5.97503662109375, 'learning_rate': 8.166666666666668e-06, 'epoch': 0.36}
{'loss': 1.8523, 'grad_norm': 6.556913375854492, 'learning_rate': 8.125000000000001e-06, 'epoch': 0.37}
{'loss': 1.7556, 'grad_norm': 6.2918291091918945, 'learning_rate': 8.083333333333334e-06, 'epoch': 0.38}
